component,layer,dim,selected_because,mean,mean_abs,mean_sq,var,constant_energy,constant_ratio,raw_energy_frac,centered_energy_frac,constant_energy_frac_of_raw
attn_delta,4,317,constant_rank_6;variable_rank_9;raw_rank_2,17743.76953125,17743.76953125,605653440.0,290812064.0,314841357.17811584,0.5198374786381398,0.004183887167855977,0.00374278920613525,0.0021749413562447183
attn_delta,4,380,constant_rank_2;raw_rank_7,-21388.955078125,21388.955078125,501640640.0,44153212.0,457487399.3340492,0.9119823292906436,0.003465361043059641,0.0005682575991407337,0.003160348035882586
attn_delta,4,385,constant_rank_10;raw_rank_8,-15992.01953125,15992.01953125,498948640.0,243203936.0,255744688.68788147,0.512567162599905,0.00344676455947347,0.0031300663873091873,0.0017666983303992279
attn_delta,4,461,variable_rank_3,6790.6689453125,6790.6689453125,420496640.0,374383456.0,46113184.72483158,0.10966362234150452,0.002904813842422086,0.00481836392479375,0.00031855240818775025
attn_delta,4,516,constant_rank_9,-16309.521484375,16309.521484375,462028640.0,196028128.0,266000491.0492897,0.5757229487966151,0.0031917191753718906,0.0025229075832882203,0.0018375459753758056
attn_delta,4,529,variable_rank_7,-5273.44580078125,5273.44580078125,362754880.0,334945664.0,27809230.6137774,0.07666121711106243,0.0025059305987086195,0.004310794396277192,0.00019210768969285614
attn_delta,4,576,variable_rank_6,-7224.9677734375,7224.9677734375,388475232.0,336275072.0,52200159.32721043,0.13437191107002266,0.0026836082004168486,0.004327904050685992,0.0003606015624531963
attn_delta,4,590,constant_rank_8;raw_rank_4,-17628.80078125,17628.80078125,537918784.0,227144176.0,310774616.9850006,0.5777352013515122,0.0037159724507241157,0.002923375180780965,0.0021468480920357694
attn_delta,4,690,constant_rank_1;variable_rank_1;raw_rank_1,-203049.015625,203049.015625,43189448704.0,1960548096.0,41228902746.281494,0.9546059045311007,0.29835507946498174,0.025232509789613874,0.28481152050411734
attn_delta,4,746,constant_rank_3;raw_rank_9,18400.318359375,18400.318359375,473199552.0,134627808.0,338571715.7263527,0.7154945821384732,0.0032688884479018187,0.0017326774539451323,0.0023388719740887937
attn_delta,4,748,constant_rank_7;raw_rank_5,17671.732421875,17671.732421875,527856448.0,215566320.0,312290126.79034805,0.5916194222379719,0.0036464612819787435,0.002774366663489921,0.0021573173168573986
attn_delta,4,763,variable_rank_2,5421.1591796875,5421.1591796875,417560000.0,388171040.0,29388966.851510048,0.0703826201061166,0.0028845273723037746,0.004995811929749567,0.00020302059423055134
attn_delta,5,37,variable_rank_7,-9866.6806640625,9866.6806640625,904404864.0,807053504.0,97351387.32658482,0.1076413796538193,0.0020526396574244827,0.0037818585234939152,0.00022094896465731431
attn_delta,5,80,constant_rank_8;raw_rank_7,-31784.544921875,31784.544921875,1593397120.0,583139776.0,1010257295.8906898,0.6340273138504793,0.0036163782933148368,0.002732597183858993,0.002292882615177587
attn_delta,5,101,variable_rank_3,7346.3369140625,7346.3369140625,1093118848.0,1039150208.0,53968666.054917336,0.04937127024537165,0.0024809454117254337,0.004869465347510931,0.00012248742638631122
attn_delta,5,144,variable_rank_6,-24327.20703125,24327.20703125,1418970496.0,827157504.0,591813001.9412994,0.4170720981229616,0.003220499168837827,0.003876066012067463,0.0013431803453504464
attn_delta,5,165,variable_rank_4,5603.14453125,5603.14453125,990375872.0,958980672.0,31395228.638076782,0.03170031654211865,0.0022477596832380076,0.004493790325293133,7.125469346925718e-05
attn_delta,5,170,constant_rank_3;raw_rank_4,39535.95703125,39535.95703125,2270698240.0,707606464.0,1563091898.3768463,0.6883749988623967,0.005153582696198298,0.0033158489789021353,0.0035475974826327714
attn_delta,5,186,constant_rank_2;raw_rank_2,47472.51171875,47472.51171875,2700978688.0,447339232.0,2253639368.886856,0.8343788045790224,0.006130148332381313,0.002096234858094888,0.005114865837464407
attn_delta,5,198,variable_rank_9,5160.07373046875,5160.07373046875,820257664.0,793631296.0,26626360.903873682,0.03246097180492017,0.001861658951043375,0.003718961960283023,6.043125872019626e-05
attn_delta,5,269,constant_rank_7;raw_rank_8,-32074.3671875,32074.3671875,1565272448.0,536507392.0,1028765030.4785767,0.6572434286395723,0.0035525464637911337,0.0025140774970883357,0.002334887818263473
attn_delta,5,301,variable_rank_8,-11339.404296875,11339.404296875,927070400.0,798488320.0,128582089.80798721,0.1386972227869504,0.002104081417528044,0.0037417220096752557,0.0002918302491287695
attn_delta,5,332,constant_rank_5;raw_rank_5,-35643.67578125,35643.67578125,2009140736.0,738669056.0,1270471623.1988678,0.6323457587785766,0.004559951097366735,0.003461408508394016,0.002883465736657571
attn_delta,5,346,constant_rank_9;raw_rank_9,31657.810546875,31657.810546875,1510350592.0,508133600.0,1002216968.62183,0.6635657799787389,0.0034278956749990946,0.0023811177037323756,0.00227463426726652
attn_delta,5,365,constant_rank_6;raw_rank_6,-33210.05078125,33210.05078125,1749854848.0,646947264.0,1102907472.8932037,0.6302851200222545,0.003971475164181879,0.0030315995314846786,0.002503161700521778
attn_delta,5,595,constant_rank_4;variable_rank_2;raw_rank_3,38161.9453125,38161.9453125,2648517632.0,1192183424.0,1456334070.0342407,0.5498676136562117,0.006011082581739832,0.005586580098192053,0.003305299634711702
attn_delta,5,607,variable_rank_10,-14764.970703125,14764.970703125,1008137344.0,790132928.0,218004359.86413956,0.2162447023330777,0.0022880711667921634,0.0037025685826772695,0.0004947832683798692
attn_delta,5,640,constant_rank_10;raw_rank_10,30593.1953125,30593.1953125,1484930176.0,548986624.0,935943599.428772,0.6302946862794254,0.0033702014320037056,0.0025725552679820214,0.002124220054283246
attn_delta,5,690,constant_rank_1;variable_rank_1;raw_rank_1,-360082.21875,360082.21875,136360321024.0,6701118464.0,129659204259.92285,0.9508572822815684,0.3094837431491255,0.031401489311941394,0.2942748709211045
attn_delta,5,703,variable_rank_5,-16349.828125,16349.828125,1151328896.0,884012032.0,267316879.71704102,0.2321811609573647,0.0026130590897268193,0.004142486739132448,0.0006067030931029675
attn_delta,6,20,constant_rank_5;raw_rank_5,55282.29296875,55282.29296875,3523902464.0,467770816.0,3056131915.8827057,0.8672578049772905,0.004409868133183803,0.0013579412534032054,0.003824492557424288
attn_delta,6,35,variable_rank_9,-27447.3359375,27447.3359375,1669732608.0,916376384.0,753356250.065979,0.4511837682611628,0.0020895301995955255,0.0026602456863791544,0.0009427621093490088
attn_delta,6,101,variable_rank_5,24300.275390625,24300.275390625,1612874112.0,1022370688.0,590503384.060215,0.3661187067650169,0.002018376564620469,0.002967947734271258,0.0007389654176036635
attn_delta,6,165,variable_rank_8,13943.15625,13943.15625,1157696384.0,963284736.0,194411606.21191406,0.16792969978898548,0.0014487598461816336,0.0027964208904131716,0.00024328980603561853
attn_delta,6,189,constant_rank_2;raw_rank_2,90907.96875,90907.96875,8719207424.0,454949344.0,8264258782.250977,0.9478222480982896,0.010911356190622773,0.0013207204496193412,0.010342026154397266
